,Gansulin 40R,Gansulin R,Humulin 70/30,Humulin R,Novolin 30R,Novolin 50R,Novolin R,acarbose,canagliflozin,dapagliflozin,gliclazide,glimepiride,gliquidone,insulin aspart,insulin aspart 50/50,insulin aspart 70/30,insulin degludec,insulin detemir,insulin glargine,insulin glarigine,insulin glulisine,liraglutide,metformin,pioglitazone,repaglinide,sitagliptin,voglibose,Mean,Median,Std,Min,Max
Gansulin 40R,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.07389763528340952,-0.06784231244484289,-0.04385877912095976,-0.11473233279455704,-0.06266579200739951
Gansulin R,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.12622580122654967,-0.11838038786561371,-0.1271030236848365,-0.01662477210269389,-0.1006565722483207
Humulin 70/30,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.007646358100533109,0.018485782656191767,-0.09013743010333927,-0.08059595546735548,-0.06369560279181141
Humulin R,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25277985898497035,0.29265446947980855,0.3271803186617509,-0.21213520364137128,0.280694307453947
Novolin 30R,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10056867879087511,0.08914839223017623,0.02409803505256809,0.16359796465329635,0.07239768322056449
Novolin 50R,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.019117126024848576,-0.012250429481994903,0.12466533096993784,-0.11473233279455704,0.16527888943812774
Novolin R,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15728848331581988,0.1627426268130268,0.16189091084738297,0.10992342017857212,0.09356278945663295
acarbose,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1012554237362957,0.10590573686891055,0.0240395619098676,0.024540044578701674,0.07546704708884655
canagliflozin,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.08893343903366134,-0.08805754261315121,-0.08866006409161009,-0.03446251041030537,-0.09828214848326317
dapagliflozin,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.017410390590673674,-0.014060648086170698,-0.13196744269286806,0.12439426696707329,-0.1111378476213598
gliclazide,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.023742411013294606,0.01361992997893844,-0.026969974382190863,0.05025164301448417,-0.020610173585071632
glimepiride,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08447336035088454,0.0736642987333156,0.1038272121672552,0.03688844282014056,0.15815561814295498
gliquidone,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00999269052587918,-0.008424809331665038,-0.0018431272730562555,-0.11858902058395923,-0.013122130323191305
insulin aspart,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.024409023987505767,-0.04762708227653451,0.10203705453203525,-0.07905685617933407,0.1249136854321489
insulin aspart 50/50,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08447336035088454,0.0736642987333156,0.1038272121672552,0.03688844282014056,0.15815561814295498
insulin aspart 70/30,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16336950735984396,0.1573334330365927,0.31619301803413624,-0.19165792607612575,0.23469301771494167
insulin degludec,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1512411981398026,0.1878425531386091,0.09330951482850892,0.04216045961799142,0.08063127274627939
insulin detemir,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11571839552729496,0.11649572051369615,0.10842807972431749,0.015012921002591644,0.058832396125086645
insulin glargine,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0260060848349868,-0.022244691751588636,0.16405946447332548,-0.1961768255037387,0.14594174680144312
insulin glarigine,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13503976942984044,0.12100539312524684,0.016416397356590992,0.18303095575348807,0.050996444102698046
insulin glulisine,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16461707015968086,0.1595790269486262,0.005141344767275036,0.06364505028155769,0.04180885365513375
liraglutide,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03147577164258514,0.016849693617307565,0.0062409587335858115,0.06441423854245072,-0.008535634646825288
metformin,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.10663684160120504,-0.12066498395230563,-0.19734216462375703,0.13318687910332622,-0.1408320157511096
pioglitazone,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13505501275199167,0.12723508023074115,0.013980383773175488,0.13250341083715625,0.02702886270822505
repaglinide,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.09890761392407846,-0.09199085523750723,-0.1076748332910773,-0.04460405686305101,-0.05414378609521159
sitagliptin,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.14695786199805164,-0.15602882952569175,-0.15233882360451065,0.0765207905400257,-0.15339070981975106
voglibose,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.181500231908616,0.19521196778804029,0.27127832404922686,-0.023850369868365175,0.274536290348931
Mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Std,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
